"country","energyCarrierParameterScenario","period","value","paperScen","energyCarrier","parameter","unit"
"FR","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2030,0.106340559242,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2030,0.244,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2035,0.118651367567,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2035,0.2148,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2040,0.131040601035,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2040,0.1856,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2045,0.142438806818,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2045,0.1564,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"ES","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"IT","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"NL","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"PL","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"UK","PROG",2050,0.151451382,"Current policies","Diesel bio","Wholesale","EUR/kWh"
"DE","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"ES","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"IT","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"NL","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"PL","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"UK","PROG",2050,0.1272,"Current policies","Diesel syn","Wholesale","EUR/kWh"
"FR","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"FR","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"DE","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"ES","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"IT","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"NL","PROG",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
"PL","BAU",2030,0.063495430079,"Current policies","Diesel fossil","Wholesale","EUR/kWh"
